tag phi Niter 1000000
1 1.271548954098726
2 1.0641794864839444
3 0.9147166841250556
4 0.7838744170377165
5 0.6683643108247125
6 0.5600896158017913
7 0.4573024112067817
8 0.35765338559421295
9 0.257956341026625
10 0.15888867994415498
11 0.059856412533956356
12 0.00034358233549598743
13 -0.037532983759961884
14 -0.13891726216913822
15 -0.24235360573421164
16 -0.3518873157355691
17 -0.462176939314383
18 -0.5725357262248284
19 -0.6792873786575027
20 -0.7863201083489633
21 -0.8911054474812938
22 -0.9952953854903895
23 -1.098611360752822
24 -1.201323230999937
25 -1.306346503771041
26 -1.4148266508781078
27 -1.5241789933418661
28 -1.646337579780286
29 -1.7712131321584297
30 -1.9234809668841215
31 -2.0793229253611494
32 -2.2699437075859383
33 -2.5093232365877864
34 -2.841886163273271
35 -3.3365169943084716
36 -3.8805253926955943
37 -4.230166081451858
38 -4.459116909371853
39 -4.634199080702981
40 -4.7947526735724555
